Date,Open,High,Low,Close,Volume
2025-04-22,529.69,541.64,525.87,536.98,87787903
2025-04-23,536.98,542.65,533.87,540.74,34891716
2025-04-24,540.74,547.13,540.16,545.91,79176139
2025-04-25,545.91,550.07,540.90,544.02,76505495
2025-04-28,544.02,559.23,539.57,553.83,62950129
2025-04-29,553.83,558.92,548.69,558.77,78062255
2025-04-30,558.77,559.78,550.43,554.32,41628928
2025-05-01,554.32,554.36,546.91,551.71,59642476
2025-05-02,551.71,552.50,547.14,550.63,22145996
2025-05-05,550.63,559.30,548.32,558.10,43862718
2025-05-06,558.10,562.13,551.91,556.24,59731548
2025-05-07,556.24,556.53,546.38,547.24,63248672
2025-05-08,547.24,554.39,543.61,552.89,53996319
2025-05-09,552.89,554.40,548.66,552.83,27967225
2025-05-12,552.83,554.40,548.72,552.47,54064292
2025-05-13,552.47,558.26,550.28,558.00,61952746
2025-05-14,558.00,559.69,545.88,547.04,29606436
2025-05-15,547.04,548.83,542.34,542.39,72290988
2025-05-16,542.39,544.45,532.06,535.83,55018364
2025-05-19,535.83,549.60,535.44,545.20,80323505
2025-05-20,545.20,545.31,530.41,535.34,80347700
2025-05-21,535.34,541.59,531.54,538.50,49238577
2025-05-22,538.50,538.61,528.80,530.52,76092550
2025-05-23,530.52,539.12,525.64,534.67,26169091
2025-05-26,534.67,545.62,531.52,544.29,56677378
2025-05-27,544.29,545.98,541.26,543.10,43314803
2025-05-28,543.10,545.87,535.74,536.35,55696644
2025-05-29,536.35,549.40,532.45,547.49,77326402
2025-05-30,547.49,557.93,546.69,556.62,33809026
2025-06-02,556.62,564.84,552.97,560.57,32400229
2025-06-03,560.57,571.67,556.34,568.86,73191400
2025-06-04,568.86,574.23,565.65,568.97,64470882
2025-06-05,568.97,578.54,565.40,573.58,30567018
2025-06-06,573.58,576.12,562.17,563.87,39227156
2025-06-09,563.87,566.73,552.30,554.02,51633970
2025-06-10,554.02,558.63,543.94,544.36,80497502
2025-06-11,544.36,557.83,541.60,554.42,52389816
2025-06-12,554.42,561.58,549.46,557.16,51481359
2025-06-13,557.16,570.02,555.37,566.33,53294031
2025-06-16,566.33,566.68,558.27,558.84,82938878
2025-06-17,558.84,562.84,553.50,556.30,32079123
2025-06-18,556.30,558.74,548.96,551.38,56592362
2025-06-19,551.38,553.44,542.75,544.29,48613857
2025-06-20,544.29,547.54,537.42,541.69,65311374
2025-06-23,541.69,542.20,528.85,532.47,39890288
2025-06-24,532.47,542.70,527.64,539.16,81129576
2025-06-25,539.16,542.30,535.70,536.46,44487455
2025-06-26,536.46,552.93,534.36,549.09,61652885
2025-06-27,549.09,563.03,547.03,561.29,75416337
2025-06-30,561.29,574.43,556.64,570.60,71714227
2025-07-01,570.60,579.83,566.92,576.79,49638445
2025-07-02,576.79,578.88,573.61,574.65,34993486
2025-07-03,574.65,590.52,573.34,587.66,29629574
2025-07-04,587.66,592.62,577.36,577.95,73961230
2025-07-07,577.95,593.30,577.73,588.11,43573506
2025-07-08,588.11,597.41,585.89,596.62,31357304
2025-07-09,596.62,611.69,591.80,607.01,31587741
2025-07-10,607.01,609.51,602.72,606.83,36627114
2025-07-11,606.83,608.56,602.28,606.82,51424957
2025-07-14,606.82,611.15,601.91,609.27,52831092
2025-07-15,609.27,622.26,603.50,619.98,88910785
2025-07-16,619.98,622.21,617.61,620.46,56922185
2025-07-17,620.46,640.22,615.49,635.03,29687897
2025-07-18,635.03,639.10,623.97,629.47,58817852
2025-07-21,629.47,634.80,614.51,619.79,39954410
2025-07-22,619.79,630.39,614.18,628.68,30314405
2025-07-23,628.68,634.63,627.08,628.48,51578959
2025-07-24,628.48,628.65,625.46,625.80,55140498
2025-07-25,625.80,632.02,617.60,619.92,21973128
2025-07-28,619.92,638.80,615.89,633.49,75396644
2025-07-29,633.49,635.31,619.56,624.74,68725039
2025-07-30,624.74,629.15,613.38,616.15,20367583
2025-07-31,616.15,617.72,600.96,606.02,58416297
2025-08-01,606.02,616.97,605.35,613.73,40167110
2025-08-04,613.73,614.03,607.22,609.78,75572937
2025-08-05,609.78,610.80,604.26,610.12,61771732
2025-08-06,610.12,613.27,596.92,598.37,30050378
2025-08-07,598.37,602.05,596.52,597.96,49159731
2025-08-08,597.96,604.40,592.14,603.88,24737552
2025-08-11,603.88,609.17,597.91,606.10,58790636
2025-08-12,606.10,608.95,600.78,604.63,88672759
2025-08-13,604.63,604.72,594.71,599.44,44136174
2025-08-14,599.44,611.03,594.81,607.22,71463088
2025-08-15,607.22,607.49,600.86,604.16,76945620
