Date,Open,High,Low,Close,Volume
2025-05-08,440.05,452.23,437.32,450.85,62674163
2025-05-09,450.85,461.18,449.92,456.85,34771763
2025-05-12,456.85,462.02,456.06,461.29,25254540
2025-05-13,461.29,463.37,449.44,452.12,40388150
2025-05-14,452.12,455.32,444.64,447.79,51782192
2025-05-15,447.79,456.87,444.26,452.68,63754060
2025-05-16,452.68,461.37,450.76,457.10,58119366
2025-05-19,457.10,465.47,453.32,461.28,24998688
2025-05-20,461.28,462.70,452.09,455.50,59844493
2025-05-21,455.50,456.06,449.19,452.30,68981357
2025-05-22,452.30,464.76,450.07,462.44,25630929
2025-05-23,462.44,464.44,452.56,454.02,37525753
2025-05-26,454.02,458.39,443.07,446.81,60263937
2025-05-27,446.81,461.56,443.81,456.99,38865771
2025-05-28,456.99,460.45,446.57,448.68,65605664
2025-05-29,448.68,459.03,446.05,458.20,64434930
2025-05-30,458.20,459.59,456.61,459.18,43331587
2025-06-02,459.18,467.82,457.66,463.84,68557157
2025-06-03,463.84,468.22,456.83,460.58,58506762
2025-06-04,460.58,462.24,459.09,460.79,87912930
2025-06-05,460.79,463.16,455.41,459.96,66036227
2025-06-06,459.96,463.90,459.09,461.99,45324555
2025-06-09,461.99,471.41,458.48,468.48,34249076
2025-06-10,468.48,475.05,466.42,470.68,68877502
2025-06-11,470.68,475.26,461.02,463.84,36750822
2025-06-12,463.84,466.40,455.34,457.87,26524644
2025-06-13,457.87,473.44,455.76,469.16,28222630
2025-06-16,469.16,479.72,465.80,477.34,55621041
2025-06-17,477.34,481.33,469.03,473.67,37061163
2025-06-18,473.67,477.77,469.30,475.95,55576862
2025-06-19,475.95,489.45,474.63,485.26,75300432
2025-06-20,485.26,489.79,482.16,484.62,77438463
2025-06-23,484.62,486.06,478.27,481.09,89923163
2025-06-24,481.09,482.79,478.50,482.07,44158675
2025-06-25,482.07,487.04,479.88,484.40,42524414
2025-06-26,484.40,487.78,476.09,478.83,36349371
2025-06-27,478.83,486.17,475.26,485.96,69365951
2025-06-30,485.96,495.89,482.74,493.99,77452328
2025-07-01,493.99,508.42,493.80,505.91,55160380
2025-07-02,505.91,513.66,501.49,509.23,50821434
2025-07-03,509.23,513.43,505.55,511.09,48698503
2025-07-04,511.09,516.73,508.70,515.93,87844254
2025-07-07,515.93,519.51,510.14,513.47,79623570
2025-07-08,513.47,527.39,511.52,522.90,42166280
2025-07-09,522.90,533.37,518.34,529.35,22512936
2025-07-10,529.35,532.69,515.60,520.40,89819814
2025-07-11,520.40,529.76,519.88,527.48,64362348
2025-07-14,527.48,540.02,523.81,537.64,83239684
2025-07-15,537.64,541.92,526.45,528.00,46238876
2025-07-16,528.00,530.80,517.95,520.90,75476363
2025-07-17,520.90,521.31,509.98,514.46,63379725
2025-07-18,514.46,519.16,509.02,509.75,52280493
2025-07-21,509.75,511.05,505.33,505.38,76324315
2025-07-22,505.38,519.26,504.58,515.77,50921084
2025-07-23,515.77,518.80,510.19,513.47,49701625
2025-07-24,513.47,517.81,507.97,508.98,46928527
2025-07-25,508.98,511.08,506.07,509.87,60236835
2025-07-28,509.87,523.99,504.88,522.45,66076087
2025-07-29,522.45,525.41,514.90,518.45,72126818
2025-07-30,518.45,521.60,506.70,509.23,83290870
2025-07-31,509.23,513.30,502.53,505.60,44662466
2025-08-01,505.60,513.14,502.18,509.97,70464986
2025-08-04,509.97,519.22,506.77,514.90,83238259
2025-08-05,514.90,521.19,512.63,519.58,60570166
2025-08-06,519.58,526.79,518.05,526.31,72323660
2025-08-07,526.31,527.01,517.14,519.95,88004270
2025-08-08,519.95,526.74,515.63,521.97,37987905
2025-08-11,521.97,533.46,517.76,530.90,72259154
2025-08-12,530.90,531.51,523.29,528.37,29852991
2025-08-13,528.37,545.44,524.55,540.79,88595956
2025-08-14,540.79,557.96,538.81,553.51,75347737
2025-08-15,553.51,556.48,540.32,542.79,67097986
